Data.Precipitation,Data.Temperature.Avg Temp,Data.Temperature.Max Temp,Data.Temperature.Min Temp,Data.Wind.Direction,Data.Wind.Speed
0,30,35,24,26,11.93
0,27,31,23,24,11.46
0,29,31,25,26,12.7
0.03,28,32,24,25,11.23
0,33,47,18,28,5.46
0,35,46,24,30,7.16
0,33,47,20,28,3.96
0,36,48,24,29,5.1
0.21,36,42,30,9,9.46
0.06,7,21,-6,11,3.5
0.06,30,36,23,1,7.86
0.01,34,43,24,9,3.4
0.01,19,20,17,12,4
0.31,32,35,29,9,19.93
0,15,24,6,32,2.8
0.29,32,38,25,34,7.13
0,34,41,25,27,8.3
0.31,29,33,26,24,13.96
0,36,43,29,30,8.8
0,39,45,31,27,8.3
0.01,31,35,27,25,9.53
0,32,35,28,25,9.13
0.01,31,35,25,26,7.83
0.05,77,83,71,10,5.9
0,36,43,28,26,7.36
0,45,54,35,30,1.13
0.55,53,61,45,22,3.86
0,49,57,40,21,2.3
0,45,55,35,19,2.53
0,18,29,7,26,6.16
0,18,26,9,29,8.4
0,22,29,15,27,10.5
0,24,37,11,26,3.26
0,18,26,9,30,7.2
0,34,44,24,23,3.93
0,40,48,31,35,3.6
0,37,47,27,28,5.66
0,34,44,24,29,4.23
0,36,45,27,26,2.5
0,40,51,29,30,3.53
0,39,50,28,29,3.73
0,37,47,27,18,0.5
0,41,47,34,20,5.76
0,34,45,22,29,4.73
0.22,46,53,40,22,8
0.2,47,52,42,22,4.1
0.02,48,53,43,11,9.56
1.54,47,50,42,32,13.2
0,38,47,29,30,4.63
0.01,48,53,43,33,7.73
1.81,47,51,42,35,13.03
0,35,50,19,29,4.23
0,44,51,36,33,4.9
0,46,53,38,32,6.73
0.57,47,51,42,22,3.16
0,37,44,31,4,5
0,44,52,36,31,5.93
0.23,49,52,44,12,13.9
0.09,50,54,45,11,9.56
0,34,43,25,21,5.1
0.04,37,43,31,21,6.4
0,42,48,35,19,4.93
1.04,47,52,41,22,6.2
1.29,47,52,42,22,8.46
0,45,51,39,33,6.26
0,40,48,31,31,8.06
0,15,24,7,32,1.6
0,41,49,33,28,9.33
0.03,31,35,26,23,6.5
0,39,49,29,25,3.6
0,45,51,39,16,4.7
0,41,51,30,27,3.6
0,41,49,33,28,9.33
0,41,49,33,28,4.26
0,41,49,33,29,4.83
0.07,10,22,-2,24,6.2
0.07,12,20,3,34,7.2
0.02,26,37,14,11,0.5
0,34,46,22,6,2.53
0.02,35,42,28,6,4.96
0.09,12,20,3,2,5.2
0.26,16,24,8,30,3.2
0,33,40,26,27,7.6
0,37,43,31,24,7.23
0,32,38,27,24,5.26
0,36,43,28,24,6.23
0,23,28,17,27,9.4
0,25,32,17,27,8.16
0,24,29,18,28,5.6
0,26,30,21,28,10.96
0,21,28,13,22,16.13
0,23,38,7,27,8.33
0,11,21,0,27,0.43
0,3,19,-13,16,1.9
0,22,36,7,21,0.8
0.52,44,52,36,12,6.55
0.43,43,50,34,13,8.34
0.13,49,57,39,14,6.58
0.11,47,55,38,15,7.55
0,28,33,22,12,4.02
0.48,36,43,27,24,5.42
0.03,28,35,21,7,18
0,6,19,-2,29,3.98
2.35,32,35,29,22,14.3
0.81,35,42,29,12,5.88
0,13,17,9,11,18.5
0,2,12,-7,7,1.58
0,0,7,-6,33,1.35
1.75,37,42,31,7,9.45
0,37,41,33,11,14.15
0.33,27,31,22,13,1.81
0.03,30,35,25,3,13.51
1.33,34,39,28,23,5.17
0.04,35,41,29,8,14.55
2.66,37,41,33,11,16.28
0.03,23,27,18,10,18.08
0,14,24,4,21,1.72
0.09,29,32,24,7,16.57
0,-13,-8,-19,18,0.32
0,27,36,21,21,8.87
0,60,60,60,20,2.34
0,60,60,60,0,0
0,60,60,60,32,14
0.13,39,43,33,16,6.31
0.12,33,36,29,9,18.64
0.77,32,36,29,23,18.52
0,24,32,16,6,5.15
0,9,16,1,9,4.65
0.05,8,16,0,10,12.25
1.26,33,39,25,7,2.42
1.16,41,52,30,25,4.5
0.61,42,49,34,18,5.17
1.13,52,57,47,14,3.64
1.53,48,56,41,17,4.98
0.12,35,45,25,19,3.81
0.37,38,44,30,17,7.5
0.79,34,42,26,19,7.78
1.63,40,47,32,0,0
0.69,51,58,43,13,1.75
0.16,36,48,24,24,5.4
0,43,52,34,19,3.8
1.83,49,54,44,18,2.94
2.49,49,55,42,0,0
1.28,47,54,41,17,3.42
1.15,51,56,46,11,5.81
1.96,55,62,48,23,1.58
2.73,55,60,49,23,3.04
3.59,46,51,42,26,5.14
4.71,45,51,40,18,2.5
2.27,48,53,41,19,4.04
1.09,51,56,45,12,8.04
2.98,57,61,53,19,3.62
2.17,51,54,47,10,4.45
1.89,39,43,34,19,9.58
4.15,54,60,47,17,2.22
1.59,53,60,45,23,3.6
1.43,47,53,40,14,5.4
0.55,14,27,1,23,0.92
0.18,29,39,18,19,2.92
0.34,15,26,5,18,0.8
0.38,27,37,16,18,4.31
0.31,26,33,18,13,1.48
0.41,28,42,14,12,2.14
1.23,33,43,23,21,7.78
1.46,29,41,17,21,5.05
0.68,35,45,25,22,6.18
0.68,35,45,25,22,6.18
0.05,63,70,56,15,8.45
0.94,70,77,62,20,6.9
0.16,56,64,47,12,7.41
0.21,53,59,46,15,8.52
0.46,72,76,68,16,8.34
0.84,70,77,63,19,5.75
0.55,63,70,54,17,7.37
0.69,51,58,42,13,6.24
0.92,54,62,45,13,7.4
1.19,63,71,55,14,6.28
1.59,65,73,57,19,6.87
0.99,68,75,60,21,7.2
0.69,49,58,40,12,4.17
0.47,42,50,33,14,6.84
0.64,43,50,35,15,10.48
0.16,45,54,36,7,7.4
0.26,46,53,37,13,7.84
0.14,49,57,41,10,8.22
0.33,73,83,63,20,1.98
0,74,81,67,12,5.08
0.44,72,82,62,8,6.47
0.16,72,80,64,16,5.25
0.08,73,80,66,24,5.11
0.04,33,39,27,19,1.9
0.01,36,40,30,14,2.08
0.09,30,35,24,16,3.94
0.47,29,35,22,23,8.92
0.22,26,33,19,21,7.71
0.51,30,36,22,23,7.97
0.21,28,36,20,18,9.07
0.65,26,32,20,23,8.62
0.59,35,38,23,23,10.2
12.65,36,45,26,21,4.52
1.15,31,40,21,20,6.75
1.08,34,42,25,19,8.75
0.87,27,36,18,17,7.35
0.17,22,28,15,20,9.8
0.44,23,29,16,22,8.8
0.23,22,28,16,18,10
0.48,21,28,15,19,9.77
0.52,20,26,14,23,9.67
0.42,26,33,17,20,10.24
0.25,31,39,22,21,12
0.02,28,39,15,22,9.98
0.5,31,37,23,20,7.94
0.73,28,35,21,20,7.47
0.18,30,37,23,22,10.34
0.79,35,45,25,19,6.97
0.83,38,48,28,18,2.14
0.47,36,46,26,18,7.82
0.4,39,48,29,18,6.91
2.13,36,45,26,18,5.31
1.84,51,60,41,13,6.15
2.1,51,61,41,15,8.01
0.75,54,61,47,14,8.84
1.5,46,54,37,16,6.58
0.27,51,61,40,11,4.03
1.99,22,34,9,21,5.52
0.52,18,26,9,19,6.44
2.11,27,37,16,19,5.88
1.05,35,44,26,18,4.67
0.28,39,49,27,15,6.34
1.39,33,41,25,19,7.51
0,60,60,60,21,9.51
1.12,28,36,19,20,6.7
0.69,24,33,14,19,6.1
0.66,31,39,22,20,5.87
0.71,30,39,21,17,7.12
0.82,29,36,22,17,7.62
0.78,24,32,16,18,6.77
0.86,28,36,21,17,7.34
0.61,21,27,16,0,0
0.95,30,37,22,18,8.38
0.61,25,31,18,19,6.61
0.18,16,23,8,23,8.68
0.1,14,20,7,20,5.78
0.17,19,25,12,21,8.74
0.44,17,23,11,23,12.62
0.13,17,22,8,22,8.54
1.23,42,50,35,15,8.21
0.35,43,53,32,15,5.12
0.32,51,59,41,19,6.52
0.11,47,58,35,19,3.94
1.15,46,55,36,14,5.95
0.1,45,53,33,13,5.37
0.4,40,49,30,17,6.15
1.4,35,43,27,18,8.58
0.69,31,38,23,18,9.42
0.6,28,35,21,21,9.34
0.67,31,38,23,19,9.72
0.69,32,39,25,19,10.97
0.54,26,32,19,21,8.41
0.52,34,42,26,23,9.15
0.09,23,29,15,18,7.54
0.13,18,27,9,26,1.32
0.07,10,21,2,28,7.65
0.05,19,27,13,14,4.71
0.11,11,17,3,21,6.74
0.14,15,23,7,15,5.25
0.12,9,18,0,25,4.65
0.15,16,23,7,21,1.94
0.02,22,27,17,15,2.08
0,13,25,0,21,5.21
0.01,21,26,15,12,1.88
0.09,22,30,14,20,11.48
0.51,24,31,17,21,10.65
0.25,20,28,12,20,11.07
0.04,25,35,15,20,7.1
0.71,23,29,16,20,11.07
0.04,21,31,9,26,4.11
0,20,31,9,29,7.52
0.01,17,27,7,27,8.7
1.12,22,30,12,23,7.84
0.08,25,34,17,19,5.28
0.26,48,54,43,16,3.02
0.88,42,48,36,9,5.17
0.25,33,40,26,16,1.4
0.67,30,36,23,13,3.48
0.82,25,38,13,21,3.65
0,60,60,60,24,31.11
0.8,35,46,23,17,6.57
1.78,34,44,24,20,7.24
0.37,35,40,28,22,2.61
0.27,31,41,21,17,9.2
0.11,31,39,23,24,1.67
0.9,27,38,16,24,4.08
0.74,25,34,15,21,7.14
0.64,29,37,20,15,7.87
0.77,24,34,14,14,2.61
1.72,34,44,24,21,7.87
1.42,37,44,29,21,8.44
0.63,29,37,20,22,7.14
0.68,27,37,15,14,5.07
0.48,37,46,27,24,5.41
1.47,51,56,45,15,9.17
0.42,40,49,30,11,6.12
0.39,37,45,30,12,6.38
0.66,37,46,28,11,3.71
0.27,40,47,33,6,4.97
0.34,47,54,39,14,9.6
0,10,19,0,15,4.98
0,11,19,2,25,7.02
0.32,12,19,4,23,10.47
0,8,15,1,27,10.82
0.05,10,20,3,21,4
0.74,31,40,21,20,7.15
0.81,32,41,22,15,7.94
0.78,31,41,21,20,5.6
1.03,32,42,22,19,8.08
1.03,31,41,20,20,8.05
0.85,29,39,19,16,5.31
0.73,29,39,18,18,6.97
0.17,33,40,24,18,10.01
0.11,35,42,27,22,10.87
0.16,36,40,28,20,8.5
0.58,34,40,26,26,8.75
0.41,43,49,37,8,5.88
0.2,18,28,9,23,2.02
0.43,38,41,34,11,2.27
0.15,42,51,31,18,2.35
0.05,28,31,24,17,2.11
0.21,38,44,31,10,4.9
0.07,29,38,20,21,2.47
0.27,37,42,32,12,1
1.07,32,43,20,21,4.77
0.58,31,40,22,15,9.12
1.48,32,41,22,20,3.91
0.63,36,45,27,21,6.92
0.85,29,40,17,18,5.15
1.26,29,40,17,14,4.54
1.78,28,38,17,18,3.98
0.34,79,84,73,8,2.77
1.41,32,42,22,19,6.75
0.34,42,50,33,8,7.34
0,48,57,39,5,9.28
0.27,45,52,37,6,6.35
0.5,40,49,31,11,6.34
0.04,15,23,6,18,9.91
0.04,13,21,5,26,9.48
0,14,22,6,28,7
0,17,27,7,22,6.81
0.31,16,23,9,22,9.35
0.67,37,49,25,13,3.52
0.61,41,49,32,19,4.82
0.85,36,46,26,19,5.98
0.94,37,46,28,14,5.44
0.32,38,48,27,10,5
1.42,41,48,32,16,7.35
0.3,41,50,30,19,5.84
0.51,39,49,28,11,1.45
0.04,42,51,33,18,7.08
0.08,32,41,23,19,10.62
0.64,48,59,37,12,5.1
0.13,50,59,40,19,2.2
2.19,53,62,43,15,8.84
0.1,59,69,49,20,6.04
0.34,37,44,30,16,6.71
1.21,49,57,40,17,6.65
0.25,55,64,45,14,7.11
0.11,32,43,22,21,9.04
1.23,44,51,36,16,7.37
0.84,44,51,37,16,7.87
0,53,61,41,18,4.8
0.46,42,50,34,24,8.15
0.49,44,52,36,20,7.34
0.55,54,60,47,15,10.08
1.62,53,62,44,15,6.64
0.29,36,44,27,22,8.08
0.05,42,53,32,19,8.64
0,43,55,31,18,6.71
0.06,51,60,40,19,4.42
1.5,52,63,41,18,6.75
0.22,45,54,36,23,5.95
0.11,39,48,30,12,9.68
0.29,31,35,26,26,2.1
0.9,34,43,24,20,4.11
0.52,25,33,16,14,5.81
0.71,35,43,27,13,3.3
0.11,44,50,38,10,11.3
0.68,39,47,30,19,7.08
0.9,34,43,24,20,4.11
0.27,40,49,31,14,7.78
0.79,37,44,29,17,6.91
0.09,31,34,28,9,3.01
0.16,32,35,29,21,2.58
0.34,36,41,30,9,0.92
0.38,41,49,32,7,4.31
0.26,41,47,35,5,3.92
0.02,31,34,27,13,4.82
0.21,33,36,29,27,1.44
0.53,33,42,23,17,7.3
0.23,35,47,22,18,3.77
0.47,29,44,14,26,3.06
0.52,34,45,23,16,4.12
0.72,23,30,15,18,7.77
0.56,23,29,16,20,8.21
0.52,24,29,16,18,7.25
0.27,27,33,20,24,8.01
0.3,22,30,14,25,9.98
0.29,25,37,14,29,4.95
0.36,15,23,6,28,0.7
0.3,18,27,9,11,5.52
0.01,22,32,11,28,2.97
0.34,42,52,31,28,3.94
0.16,39,49,29,22,4.57
2.24,48,60,35,16,4.37
1.48,45,56,32,26,3.92
0.15,24,28,19,7,3.78
2.59,43,46,38,10,8.68
0.06,16,20,11,7,20.24
0.17,2,10,-7,34,4.45
0.15,32,36,28,10,13.8
1.17,31,39,22,8,1.84
0.04,10,16,6,19,9.87
0,-1,7,-10,16,1.84
0.2,9,14,3,18,1
0.46,29,34,24,4,2.5
0,26,32,20,10,8.08
1.74,36,40,32,12,3.87
0.26,24,29,19,7,8.41
4.97,42,45,38,14,10.3
0.11,29,36,22,6,8.61
0.35,35,38,30,11,11.8
0.03,15,18,9,6,12.82
0.03,1,8,-6,23,1.24
0.06,18,24,10,5,9.64
0,7,12,2,13,0.41
0.01,23,29,16,31,3.81
0,60,60,60,15,3.61
0,60,60,60,0,0
0,60,60,60,6,10.63
1.66,44,47,41,11,12.07
0.42,37,41,34,5,6.3
0.17,29,35,22,11,16.75
0.1,18,28,8,7,3.24
0,1,8,-6,8,5.85
0.03,-4,0,-9,5,15.85
1.62,34,40,29,7,2.44
0,41,60,21,28,4.02
0,41,55,26,8,2.62
0,52,63,40,12,1.67
0,49,64,34,18,1.95
0.06,31,47,15,17,1.84
0,39,52,26,23,4.67
0,36,48,24,26,7.31
0.03,42,52,32,0,0
0.01,53,63,42,6,1.52
0,38,56,20,26,3.05
0,43,58,28,21,2.4
1.22,52,57,45,14,4.11
4.93,53,59,46,0,0
0.13,51,59,42,9,2.27
1.04,54,60,48,13,4.65
0,57,65,47,25,2.27
0,56,63,49,24,2.31
2.58,49,53,43,20,7.35
4.13,47,53,41,23,4.5
1.09,50,57,42,19,4.94
0.21,54,61,46,11,6.24
0.04,57,65,49,29,2.18
1.39,54,58,49,16,5.37
0,46,52,38,21,11.37
0,55,66,44,20,1.54
0.05,56,65,46,26,1.5
0.86,50,59,42,16,5.32
0,3,23,-17,25,1.72
0.02,29,41,17,19,3.48
0.33,6,21,-8,22,1.78
0.01,29,41,17,20,6.7
0.03,21,30,10,9,2.45
0,28,42,13,17,3.47
0.32,34,42,27,25,8.78
0.4,30,37,21,23,7.04
0.45,34,43,25,26,7.75
0.45,34,43,25,26,7.75
2.39,56,66,45,24,4.51
1.55,67,74,60,24,7.05
1.37,50,62,37,24,3.34
1.66,49,62,36,23,4.31
1.18,69,74,65,10,9.78
1.97,67,73,60,23,5.85
2.22,58,69,47,25,6.45
0.49,50,60,39,25,4.84
1.69,51,63,38,27,3.68
1.6,59,67,51,16,6.1
2.32,61,70,51,24,6.1
1.58,66,74,57,23,7.77
1.87,48,60,35,25,3.54
1.1,42,54,30,23,4.77
1.58,42,52,32,29,6.9
0.73,44,57,31,26,4.91
0.9,45,57,32,27,4.85
1.82,48,60,35,26,5.1
0.05,73,84,62,19,2.62
0,73,80,65,20,1.54
0,71,83,59,7,3.07
0,70,81,58,6,2.6
0,71,79,62,27,4.65
0.24,32,39,26,13,6.02
0.39,36,42,30,12,5.28
0.2,26,33,19,17,6.27
0.13,21,27,8,25,11.2
0.01,20,30,10,25,11.21
0.03,21,32,10,25,9.38
0,24,35,13,26,11.27
0.06,16,24,6,25,9.47
0.14,26,37,14,25,11.17
0.13,31,41,20,24,7.32
0.36,22,31,13,24,12.71
0.19,24,34,13,23,11.1
0.4,22,29,12,24,11.74
0,16,25,6,26,12.57
0.04,20,29,9,29,10.51
0.05,16,22,4,25,11.17
0.01,16,26,4,25,7.7
0.02,11,21,1,25,9.1
0,29,39,20,22,7.45
0.03,34,47,21,24,6.07
0,30,45,15,26,9.48
0,35,47,22,16,4.01
0,30,40,19,28,6.17
0,34,45,22,24,6.2
0.32,29,37,17,23,9.3
0.17,32,41,23,24,3.6
0.12,31,41,20,23,9.88
0.15,31,41,21,23,9.22
0.05,34,44,23,25,6.31
1.15,49,62,37,15,3.87
0.3,49,60,37,18,3.52
1.4,53,62,44,16,6.21
0.03,46,59,33,20,4.24
1.22,49,63,36,16,2.48
0.32,21,30,10,22,5.27
0.65,14,22,5,22,6.17
1.13,26,33,19,29,7.44
0.29,34,43,24,25,6.44
1.53,36,47,25,26,6.84
1.4,32,39,25,25,10.74
0,60,60,60,25,10.58
0.82,26,32,19,25,9.22
0.54,18,24,12,21,6.11
0.51,23,29,16,22,11.27
0.3,24,29,17,23,10.68
0.51,21,26,16,23,9.8
0.3,17,21,12,22,7.62
0.24,21,27,15,23,10.92
0.37,7,12,1,0,0
0.87,22,27,16,24,9.25
0.46,9,15,3,16,4.85
0.31,-1,7,-9,27,9.84
0.1,-7,0,-16,23,5.2
0.03,5,13,-2,24,8.41
0.02,3,12,-6,25,11.48
0.04,2,10,-7,24,7.98
0,43,54,32,19,5.97
0.02,42,55,29,23,3.5
1.33,49,60,37,16,3.67
0.71,47,61,33,21,3.25
0.01,45,58,32,22,4.22
0.1,44,58,29,22,3.55
0.18,41,53,29,16,5.01
0.12,33,43,22,26,7.55
0.03,28,40,16,26,9.5
0.06,28,39,16,28,8.87
0.04,29,40,17,26,10.21
0.12,33,44,20,26,9.04
0,26,38,14,28,8.68
0.1,32,44,20,26,9.24
0.2,26,33,20,19,12.5
0.09,16,28,3,15,1.27
0.33,22,27,16,24,12.58
0,21,29,14,21,11.6
0.03,11,20,2,19,5.87
0.34,25,32,18,19,10.37
0.21,17,26,7,16,9.31
0.11,25,33,17,27,3.1
0.45,30,34,25,18,3.08
0.13,20,29,11,26,6.2
0.26,23,28,17,25,0.77
0.04,26,35,16,29,8.32
0.04,25,36,12,25,7.34
0.02,21,30,9,30,9.01
0.03,27,41,13,21,7.05
0.04,22,32,10,28,8.28
0.02,26,37,15,27,9.05
0.01,26,35,16,27,11.85
0.07,22,30,12,29,8.32
0.21,17,32,3,19,8.45
0.48,21,34,7,22,3.54
0,45,54,36,19,1.44
0,41,53,28,7,3.42
0.13,38,48,28,25,4.6
0.39,31,39,23,14,5.87
0.45,25,33,17,22,5.57
0,60,60,60,26,43.85
0.83,33,44,24,26,8.05
0.34,35,42,27,24,9.38
0,34,45,22,30,6.34
0,35,48,21,26,4.98
0,38,53,23,30,4.51
0.31,27,34,19,22,6.57
0.52,23,29,17,24,7.28
0.77,24,31,17,23,10.52
0.24,24,32,15,22,4.47
0.59,35,42,27,26,9.08
0.31,37,43,29,25,10.01
0.35,26,33,18,23,10.5
0.52,25,31,18,21,10.32
1.21,34,45,23,31,6.58
1.33,47,57,36,28,8.34
0.97,41,51,30,22,4.27
0.61,39,48,28,24,5.6
1.4,38,50,27,28,2.88
0.5,41,50,30,25,3.85
1.45,45,56,32,27,5.88
0.12,9,19,-2,18,6.18
0.04,11,22,1,29,9.95
0.27,-3,7,-10,23,6.81
0.28,-6,3,-13,27,7.31
0.15,8,19,-2,29,5.81
0.33,24,32,16,23,11.85
0.4,25,32,17,22,13.27
0.23,26,35,16,23,9.61
0.32,23,33,13,23,12.37
0.39,23,32,14,22,11.87
0.53,23,30,16,24,11.81
0.41,24,32,16,22,10.61
0.01,36,50,21,21,3.9
0,39,52,27,16,6.74
0,37,50,25,16,3.47
0,38,49,26,23,7
4.01,48,53,42,14,6.82
0.45,25,33,13,17,1.78
2.94,45,51,38,19,5.82
2.3,43,51,34,18,2.91
0.88,38,45,29,15,3.1
3.68,43,46,40,12,10.4
0.5,37,46,28,16,5.97
3.38,44,50,38,17,4.98
0.35,31,39,22,23,6.05
0.94,27,34,20,22,12.41
0.37,32,40,24,25,6.42
0.4,36,44,28,26,8.68
0.44,25,33,17,23,8.61
0.33,27,33,20,22,5.02
0.27,27,33,21,22,5.91
0.11,78,83,73,8,4.28
1.17,32,40,24,25,7.8
1,42,53,30,26,6
1.69,48,60,36,27,5.04
0.81,44,57,31,26,4.88
1.49,41,52,30,22,5.17
0.05,7,17,-3,24,7.18
0.04,8,20,-4,29,7.28
0.12,16,26,5,28,7.71
0.09,23,33,13,24,6.98
0.02,9,20,-2,30,6.31
0.5,32,41,22,25,5.47
0.28,38,48,28,30,3.3
0.35,35,45,25,25,7.61
0.07,33,42,24,25,4.94
0.44,35,44,26,25,5.48
0.05,42,53,30,25,5.65
0.37,37,47,26,24,5.78
0.43,35,44,26,23,1.32
0,46,59,32,18,6.12
0.11,37,51,23,21,3.88
0.01,48,64,32,21,3.55
0,52,64,39,25,1.52
0.32,51,62,39,17,4.55
0.17,59,70,48,25,5.07
0.17,41,54,28,16,3.61
0.05,49,61,37,13,3.78
0.02,55,66,44,14,5.81
0,33,49,17,22,3.47
